1041: "Сердечник"
1042: "Серьезное происшествие"
1043: "Сжигание радиоактивных отходов"
1044: "Система аварийного впрыска"
1045: "Система аварийного охлаждения реактора"
1046: "Система аварийного расхолаживания"
1047: "Система компенсации объема"
1048: "Система контроля герметичности оболочек твэлов"
1049: "Система контроля и обеспечения безопасности"
1050: "Система контроля целостности технологических каналов"
1051: "Система локализации аварии"
[1052 … 1151]
1052: "Система обеспечения безопасности"
1053: "Система перегрузки топлива"
1054: "Система управления и защиты реактора"
1055: "Системы безопасности"
1056: "Скрап"
1057: "Смешанное оксидное топливо"
1058: "СНГ"
1059: "Снятие с эксплуатации"
1060: "Событие постулированное"
1061: "Событие реальное"
1062: "Содержание изотопа"
1063: "Соматические последствие излучения"
1064: "Спекание топлива"
1065: "Спецводоочистка"
1066: "Специальные нормы и правила"
1067: "Специальный ядерный материал"
1068: "Спринклерная установка"
1069: "Спринклерные насосы"
1070: "Средство индивидуальной защиты"
1071: "ССТ"
1072: "Стадия"
1073: "Станция"
1074: "Стержень"
1075: "Стержень-ловушка"
1076: "Стержни Иоффе"
1077: "Стерилизация"
1078: "Стойкость"
1079: "СУЗ"
1080: "Супершлам"
1081: "Таблетка топливная"
1082: "ТАСИС"
1083: "ТВС"
1084: "Твэл"
1085: "ТГ"
1086: "Тело рабочее"
1087: "Температурный коэффициент реактивности"
1088: "Тепловая схема"
1089: "Тепловой реактор"
1090: "Тепловыделяющая сборка"
1091: "Тепловые нейтроны"
1092: "Теплоноситель"
1093: "Теплоноситель вторичный"
1094: "Теплоноситель первичный"
1095: "Теплообменник"
1096: "Теплообменник промежуточный"
1097: "Термическая усталость"
1098: "Термоизоляция реактора"
1099: "Термоядерный реактор"
1100: "Термоядерный синтез"
1101: "Техническое обслуживание"
1102: "Техногенное облучение"
1103: "Технологический канал"
1104: "Технологический регламент энергоблока"
1105: "Технология газового центрифугирования"
1106: "ТЗВ"
1107: "Топливная оболочка"
1108: "Торий"
1109: "Торий-232"
1110: "Трансмутация"
1111: "Транспортировка"
1112: "Транспортный реактор"
1113: "Трансурановые отходы"
1114: "Трансурановые элементы"
1115: "Тритий"
1116: "ТРО"
1117: "Турбина"
1118: "Турбогенератор"
1119: "Тяжелая авария"
1120: "Тяжелая вода"
1121: "Тяжеловодный реактор"
1122: "Удельное выгорание"
1123: "Удержание радиоактивных веществ"
1124: "Ультрафильтрация"
1125: "Уменьшение"
1126: "Упаривание высокоактивынх отходов"
1127: "Уплотнение"
1128: "Управление запроектной аварией"
1129: "Уран"
1130: "Уран природный"
1131: "Уран-233"
1132: "Уран-235"
1133: "Уран-238"
1134: "Уранинит"
